,lqr,sparse_lqr,sparse_max_discrete,sparse_max_continuous,null_model_1,null_model_2,hill_climbing
90,-120.32762867845526,-105.32620682576668,-98.89648799085133,-102.91198349066075,-105.94164868696653,-104.16947066377733,-103.73363360690641
91,-133.13044492901395,-104.95955860743871,-100.35719803709672,-111.1124960115312,-127.83140079660924,-109.62324647662241,-111.68316337864054
92,-247.15558083827852,-216.22822176278515,-195.97482231665555,-195.97509349633935,-285.113763593416,-193.92621134730683,-194.82386682468595
93,-105.03691276599442,-91.11623834590276,-104.77450922188345,-105.00066742616498,-113.86366595070425,-104.89427253024184,-93.54437844828445
94,-133.54632756511322,-110.91004502022051,-104.38584952884169,-101.96579081588503,-124.0351465745323,-110.34817152775065,-104.72011922965555
95,-146.62139808963988,-122.31377989835353,-117.26787429134876,-118.26290887485828,-120.61180935278553,-121.14049918915109,-115.08588113520527
96,-133.6672843357261,-117.46326371142035,-116.5121544301042,-111.5987301312156,-116.88958716936929,-116.23969736040453,-108.54846770251699
97,-105.40578580805006,-89.86105986509465,-89.05236144380254,-94.92712482950189,-107.23141644450327,-90.74771617041485,-91.99840279522654
98,-98.98662441572371,-85.56593774798118,-83.18411261196279,-85.12735422521067,-90.41003806705797,-86.85233430461332,-86.93792075946531
99,-126.2734856793407,-82.35749111866474,-82.67944003434454,-81.42914248967712,-91.68713388024766,-81.14381708240616,-83.87121094275938
100,-104.13992750188113,-80.32818990432371,-81.45730139804677,-77.77757599260646,-89.24004556417866,-79.7763338607382,-76.55964843764716
101,-131.0548895496641,-84.98376961840928,-84.93414395765267,-87.15309480783505,-96.83174338220061,-85.81377618290416,-89.06369895638014
102,-136.2855254617906,-74.94239172470297,-70.61486873200941,-69.6080366001626,-87.66512040266147,-75.38242828484776,-74.07410115679288
103,-111.77746942267197,-75.64322090366095,-45.35294030297371,-73.7579271995548,-99.70435957336665,-75.44924899001965,-75.83586852733954
104,-136.16248222941562,-101.28029640728943,-97.34634906841144,-111.57911785374063,-106.90565446293174,-101.65537128665311,-104.60356638345671
105,-102.81075518240907,-52.47072256427006,-51.0486249173585,-54.34706628831,-49.943836866992534,-51.3084494715253,-40.2219653888491
106,-138.96138384332076,-89.62878839021882,-79.63498864982209,-91.75236208267798,-90.71556199590012,-88.33871201880852,-89.53754422360807
107,-140.68365058594628,-102.78608277878755,-93.3344703795156,-103.33396527378665,-107.04064616453397,-102.81545947807994,-103.61416700267095
108,-138.7281365203583,-91.87179334285018,-88.12203948464436,-89.91553056723124,-99.10341739860257,-92.64422017669945,-79.44293518304731
109,-131.9505823734699,-67.45806203664593,-63.67190961086389,-69.56516114371253,-43.93824745807926,-67.62013720242832,-61.67391849242658
110,-137.85875632797743,-84.17461381672047,-71.6774913040104,-86.21361209256536,-81.56984867466964,-85.36868167692701,-72.70132187200774
