,Unnamed: 0,b,exp_param,n,vm_param,pp_id,ll,AIC,agent_type
0,0,3.553563397616025,0.0147642619860932,1.2366103081177169,1.0778902626426856,5f35d85593a88f0023c8d7c5,-112.5777141,233.1554282,null_model_1
0,0,4.419512946706218,0.0428356927296962,1.1975855385332572,1.5045502836766345,5f35d84893a88f0023c8d7af,-101.5939424,211.1878848,null_model_1
0,0,4.315891226034431,0.0383027479083513,4.830059555760016,3.210436991927056,5f35d88193a88f0023c8d7ff,-83.1863739,174.3727478,null_model_1
0,0,1.149612919829703,0.0366884217134513,3.2180385792532,4.834851374443504,5f35d80393a88f0023c8d729,-67.3481224,142.6962448,null_model_1
0,0,6.934199671879314,0.0311624274556339,4.972564633348288,4.914383494379119,5f35d5ea93a88f0023c8d5fd,-84.80577939999999,177.61155879999998,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d70093a88f0023c8d662,-83.64880409999999,175.29760819999998,null_model_1
0,0,10.726199927639756,0.0084550972426709,3.3863850794796124,2.7822307935059176,5f35db0c93a88f0023c8deda,-91.2462487,190.4924974,null_model_1
0,0,3.739805361183234,0.0045892168553327,4.948946814237349,2.028482196455789,5f35d62993a88f0023c8d613,-119.3004179,246.6008358,null_model_1
0,0,13.229327702389696,0.0084625942474697,1.3643483727404244,3.641848203646841,5f35dc7593a88f0023c8e5d3,-88.20024939999999,184.4004988,null_model_1
0,0,1.5555640124900978,0.5014046250386278,1.4524281768421747,0.7489541893541724,5f35da6493a88f0023c8dc69,-96.5258142,201.0516284,null_model_1
0,0,1.1828176040160587,0.0024538165726898,2.877175130084391,1.2674214176304677,5f35dba493a88f0023c8e193,-126.1291214,260.2582428,null_model_1
0,0,7.32877898686627,0.0119803085179095,2.9309895949016624,1.810432603346086,5f35d83993a88f0023c8d78b,-105.25995480000002,218.51990960000003,null_model_1
0,0,1.0108746662816697,0.0241588745491021,2.5136013461293985,4.090003638015547,5f35d82093a88f0023c8d751,-81.77588820000001,171.55177640000002,null_model_1
0,0,1.974126558149984,0.0271847758908415,1.1132259520831784,2.462110676030459,5f35d93793a88f0023c8d930,-90.00945970000001,188.0189194,null_model_1
0,0,26.2189160809262,0.001,1.0,1.4482584940806322,5f35dae093a88f0023c8de20,-134.5102377,277.0204754,null_model_1
0,0,1.9814092055625576,0.0199415318073217,2.7332153927093503,1.649191135962497,5f35d9ad93a88f0023c8da5b,-101.4357895,210.87157900000005,null_model_1
0,0,3.180039245859166,0.0298034836633241,1.0838958197431785,4.443254720431739,5f35dc9193a88f0023c8e6bd,-75.5586025,159.117205,null_model_1
